date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:38	637041/637041	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:18:37%20GMT	https://www.instagram.com/ranierespeaks/news.com.au/	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/news.com.au/index.html	(from https://www.instagram.com/ranierespeaks/)
11:18:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:38%20GMT	https://www.instagram.com/ranierespeaks/awstrack.me	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/awstrack.32.delayed	(from https://www.instagram.com/ranierespeaks/)
11:18:39	662739/662739	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:18:38%20GMT	https://www.instagram.com/ranierespeaks/kollosche.com.au/	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/kollosche.com.au/index.html	(from https://www.instagram.com/ranierespeaks/)
11:18:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:39%20GMT	https://www.instagram.com/ranierespeaks/B40hPU	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/B40hPU.33.delayed	(from https://www.instagram.com/ranierespeaks/)
11:18:40	637030/637030	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:18:39%20GMT	https://www.instagram.com/ranierespeaks/awstrack.me/	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/awstrack.me/index.html	(from https://www.instagram.com/ranierespeaks/)
11:18:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:40%20GMT	https://www.instagram.com/ranierespeaks/1YcKeK	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/1YcKeK.34.delayed	(from https://www.instagram.com/ranierespeaks/)
11:18:41	636636/636636	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:18:40%20GMT	https://www.instagram.com/ranierespeaks/B40hPU/	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/B40hPU/index.html	(from https://www.instagram.com/ranierespeaks/)
11:18:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:41%20GMT	https://www.instagram.com/ranierespeaks/d0pXej	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/d0pXej.35.delayed	(from https://www.instagram.com/ranierespeaks/)
11:18:42	661946/661946	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:18:41%20GMT	https://www.instagram.com/ranierespeaks/1YcKeK/	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/1YcKeK/index.html	(from https://www.instagram.com/ranierespeaks/)
11:18:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:42%20GMT	https://www.instagram.com/ranierespeaks/a6wZSt	./ranierespeaks-mirror/www.instagram.com/ranierespeaks/a6wZSt.36.delayed	(from https://www.instagram.com/ranierespeaks/)
